INSERT INTO instituciones (ruc, codigo, nombre, direccion, telefono, tipo, email, anio_Fundacion, sitio_Web, encargado, nivel_Educativo, pais, estado) VALUES
('20123456789', 'C001', 'Instituto Educativo La Paz', 'Av. La Paz 123', '987654321', 'Privada', 'contacto@lapaz.edu.pe', 1990, 'http://lapaz.edu.pe', 'Juan Pérez', 'Secundaria', 'Perú', 'activo'),
('20234567890', 'C002', 'Colegio San José', 'Calle San José 456', '998877665', 'Pública', 'info@colegiosanjose.edu.pe', 1985, 'http://colegiosanjose.edu.pe', 'María García', 'Primaria', 'Perú', 'activo'),
('20345678901', 'C003', 'Universidad Nacional', 'Jr. Universitario 789', '966123456', 'Pública', 'info@unacional.edu.pe', 1975, 'http://unacional.edu.pe', 'Carlos López', 'Universidad', 'Perú', 'activo'),
('20456789012', 'C004', 'Instituto de Tecnología Avanzada', 'Av. Tecnológica 321', '911223344', 'Privada', 'info@tecnologiaavanzada.edu.pe', 2005, 'http://tecnologiaavanzada.edu.pe', 'Laura Torres', 'Secundaria', 'Perú', 'activo'),
('20567890123', 'C005', 'Colegio San Martín', 'Calle San Martín 654', '922334455', 'Privada', 'contacto@colegiosanmartin.edu.pe', 1992, 'http://colegiosanmartin.edu.pe', 'Jorge Ramírez', 'Primaria', 'Perú', 'activo'),
('20678901234', 'C006', 'Universidad de Ciencias Aplicadas', 'Av. Científica 147', '988776655', 'Privada', 'info@uciencias.edu.pe', 1998, 'http://uciencias.edu.pe', 'Ana Romero', 'Universidad', 'Perú', 'activo'),
('20789012345', 'C007', 'Instituto San Ignacio', 'Jr. San Ignacio 258', '974455667', 'Pública', 'contacto@isansantiago.edu.pe', 1988, 'http://isansantiago.edu.pe', 'Luis Vargas', 'Secundaria', 'Perú', 'activo'),
('20890123456', 'C008', 'Colegio La Libertad', 'Calle Libertad 321', '977889900', 'Pública', 'info@colegiolalibertad.edu.pe', 2000, 'http://colegiolalibertad.edu.pe', 'Sofía Castillo', 'Primaria', 'Perú', 'activo'),
('20901234567', 'C009', 'Instituto de Arte y Diseño', 'Av. Artística 456', '922665544', 'Privada', 'contacto@iad.edu.pe', 2010, 'http://iad.edu.pe', 'Fernando Castro', 'Secundaria', 'Perú', 'activo'),
('21012345678', 'C010', 'Colegio María Auxiliadora', 'Calle Auxiliadora 789', '911556677', 'Privada', 'info@colegiomariaauxiliadora.edu.pe', 1995, 'http://colegiomariaauxiliadora.edu.pe', 'Cecilia Salas', 'Primaria', 'Perú', 'activo'),
('21123456789', 'C011', 'Universidad Peruana', 'Jr. Universitario 123', '966789012', 'Pública', 'info@universidadperuana.edu.pe', 1991, 'http://universidadperuana.edu.pe', 'Andrés Silva', 'Universidad', 'Perú', 'activo'),
('21234567890', 'C012', 'Colegio San Pedro', 'Calle San Pedro 456', '977556788', 'Pública', 'contacto@colegiosanpedro.edu.pe', 1987, 'http://colegiosanpedro.edu.pe', 'Patricia Herrera', 'Primaria', 'Perú', 'activo'),
('21345678901', 'C013', 'Instituto de Investigación', 'Av. Investigación 321', '988889900', 'Privada', 'info@iinvestigacion.edu.pe', 2003, 'http://iinvestigacion.edu.pe', 'Ricardo Medina', 'Secundaria', 'Perú', 'activo'),
('21456789012', 'C014', 'Colegio San Francisco', 'Calle San Francisco 654', '922665443', 'Privada', 'contacto@colegiosanfrancisco.edu.pe', 1994, 'http://colegiosanfrancisco.edu.pe', 'Roberto Córdova', 'Primaria', 'Perú', 'activo'),
('21567890123', 'C015', 'Universidad de Ingeniería', 'Av. Ingeniería 147', '966112233', 'Pública', 'info@universidaddering.edu.pe', 1980, 'http://universidaddering.edu.pe', 'María López', 'Universidad', 'Perú', 'activo'),
('21678901234', 'C016', 'Instituto de Idiomas', 'Jr. Idiomas 258', '974556677', 'Privada', 'info@idiomas.edu.pe', 2006, 'http://idiomas.edu.pe', 'Isabel Torres', 'Secundaria', 'Perú', 'activo'),
('21789012345', 'C017', 'Colegio de Ciencias', 'Calle Ciencias 321', '977334455', 'Pública', 'contacto@colegiociencias.edu.pe', 1993, 'http://colegiociencias.edu.pe', 'Julián Ortiz', 'Primaria', 'Perú', 'activo'),
('21890123456', 'C018', 'Instituto de Música', 'Av. Musical 456', '988665544', 'Privada', 'info@musica.edu.pe', 2011, 'http://musica.edu.pe', 'Claudia Flores', 'Secundaria', 'Perú', 'activo'),
('21901234567', 'C019', 'Colegio de Artes', 'Calle Artes 789', '922556677', 'Privada', 'contacto@colegiodeartes.edu.pe', 1992, 'http://colegiodeartes.edu.pe', 'Samantha Quiroz', 'Primaria', 'Perú', 'activo'),
('22012345678', 'C020', 'Universidad Nacional de Ingeniería', 'Av. Nacional 123', '966123456', 'Pública', 'info@uni.edu.pe', 1985, 'http://uni.edu.pe', 'Eduardo Ramos', 'Universidad', 'Perú', 'activo'),
('22123456789', 'C021', 'Colegio de Tecnología', 'Calle Tecnología 456', '977889900', 'Pública', 'contacto@colegiodetecnologia.edu.pe', 2002, 'http://colegiodetecnologia.edu.pe', 'Verónica Suárez', 'Primaria', 'Perú', 'activo'),
('22234567890', 'C022', 'Instituto de Gastronomía', 'Av. Gastronomía 321', '988112233', 'Privada', 'info@gastronomia.edu.pe', 1999, 'http://gastronomia.edu.pe', 'Héctor Ruiz', 'Secundaria', 'Perú', 'activo'),
('22345678901', 'C023', 'Colegio del Futuro', 'Calle Futuro 654', '966334455', 'Privada', 'contacto@colegiodelfuturo.edu.pe', 2010, 'http://colegiodelfuturo.edu.pe', 'Angélica Mendoza', 'Primaria', 'Perú', 'activo'),
('22456789012', 'C024', 'Universidad de Negocios', 'Av. Negocios 147', '974556688', 'Pública', 'info@universidaddenegocios.edu.pe', 1989, 'http://universidaddenegocios.edu.pe', 'Carlos Mejía', 'Universidad', 'Perú', 'activo'),
('22567890123', 'C025', 'Instituto de Deportes', 'Jr. Deportes 258', '988776544', 'Privada', 'info@deportes.edu.pe', 2004, 'http://deportes.edu.pe', 'Fernando Camacho', 'Secundaria', 'Perú', 'activo'),
('22678901234', 'C026', 'Colegio de Ciencias Sociales', 'Calle Ciencias Sociales 321', '911223344', 'Pública', 'contacto@colegiocienciassociales.edu.pe', 1996, 'http://colegiocienciassociales.edu.pe', 'Santiago Aguirre', 'Primaria', 'Perú', 'activo'),
('22789012345', 'C027', 'Instituto de Belleza', 'Av. Belleza 456', '977334455', 'Privada', 'info@belleza.edu.pe', 2008, 'http://belleza.edu.pe', 'Patricia Ríos', 'Secundaria', 'Perú', 'activo'),
('22890123456', 'C028', 'Colegio San Juan', 'Calle San Juan 789', '966445566', 'Privada', 'contacto@colegiosanjuan.edu.pe', 1997, 'http://colegiosanjuan.edu.pe', 'Rafael Córdova', 'Primaria', 'Perú', 'activo'),
('22901234567', 'C029', 'Universidad de Medicina', 'Av. Medicina 123', '911556677', 'Pública', 'info@umedicina.edu.pe', 1986, 'http://umedicina.edu.pe', 'Verónica Luna', 'Universidad', 'Perú', 'activo'),
('23012345678', 'C030', 'Colegio de Historia', 'Calle Historia 456', '974556678', 'Pública', 'contacto@colegiodhistoria.edu.pe', 1994, 'http://colegiodhistoria.edu.pe', 'José Salgado', 'Primaria', 'Perú', 'activo'),
('23123456789', 'C031', 'Instituto de Fotografía', 'Av. Fotografía 321', '988665444', 'Privada', 'info@fotografia.edu.pe', 2005, 'http://fotografia.edu.pe', 'Diego Morales', 'Secundaria', 'Perú', 'activo'),
('23234567890', 'C032', 'Colegio de Música y Arte', 'Calle Música 654', '977554433', 'Privada', 'contacto@musicaart.edu.pe', 1993, 'http://musicaart.edu.pe', 'Beatriz Castañeda', 'Primaria', 'Perú', 'activo'),
('23345678901', 'C033', 'Universidad de Ciencias de la Salud', 'Av. Salud 147', '966223344', 'Pública', 'info@ucienciassalud.edu.pe', 1991, 'http://ucienciassalud.edu.pe', 'Alberto Valdez', 'Universidad', 'Perú', 'activo'),
('23456789012', 'C034', 'Instituto de Tecnología de la Información', 'Jr. Tecnología de la Información 258', '974223344', 'Privada', 'info@tecnologiainformacion.edu.pe', 2000, 'http://tecnologiainformacion.edu.pe', 'Patricia Aguirre', 'Secundaria', 'Perú', 'activo'),
('23567890123', 'C035', 'Colegio de Preparación Universitaria', 'Calle Universitaria 789', '988554432', 'Privada', 'contacto@preparacionuniv.edu.pe', 1998, 'http://preparacionuniv.edu.pe', 'Javier Paredes', 'Primaria', 'Perú', 'activo'),
('23678901234', 'C036', 'Instituto de Ciencias Políticas', 'Av. Política 123', '966445567', 'Pública', 'info@cienciapolitica.edu.pe', 2003, 'http://cienciapolitica.edu.pe', 'Silvia Castro', 'Secundaria', 'Perú', 'activo'),
